soal,jawaban,nilai,tipe
Jelaskan kegunaan karbohidrat untuk tubuh kita.,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",100.0,test
Jelaskan kegunaan karbohidrat untuk tubuh kita.,"sumber tenaga, pemanis alami, menjaga sistem imun, dan sebagai keseimbangan tubuh ",26.666666666666668,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,"sebagai sumber energi, pemanis alami, menjaga sistem imun tubuh, mengoptimalkan kerja protein ",21.0,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,1. Sebagai energi. 2. Sebagai memperlancaar pencernaan. 3. Sebagai sistem imun. 4. Sebagai cadangan lemak. ,41.666666666666664,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,"untuk membuat kenyang, agar tidak lapar, agar kuat dan sehat, dapat melakukan aktivitas ",18.333333333333332,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,Karbohidrat mempunyai peran penting untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa dalam tubuh. Karbohidrat dapat mencegah terjadinya ketidaksempurnaan proses oksidasi lemak. Fungsi karbohidrat yang utama adalah sebagai pemasok energi. Makanan berkarbohidrat dan serat tinggi dapat membantu memperlancar proses pada pencernaan. ,81.66666666666667,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,1. untuk menjaga sistem imun tubuh 2. untuk proses metabolisme penyeimbang asam dan basa didalam tubuh 3. mencegah terjadinya ketidaksempurnaan untuk proses oksidasi lemak 4. pemasok energi ,46.666666666666664,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,1. untuk menjaga sistem imun tubuh 2. untuk proses metabolisme penyeimbang asam dan basa didalam tubuh 3. mencegah terjadinya ketidaksempurnaan untuk proses oksidasi lemak 4. pemasok energi ,50.0,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,"Menambah energi dalam tubuh, untuk proses metabolisme, memperlancar proses pencernaan, untuk mengoptimalkan kerja protein. ",35.0,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,"kegunaan karbohidrat untuk tubuh kita adalah menambah energi, proses metabolisme dalam tubuh, memperlancar proses pencernaan, dan berfungsi untuk mengoptimalkan kerja protein dalam tubuh. ",48.333333333333336,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,sebagai sumber energi bagi tubuh penghasil gula darah penghasil enzim yang baik bagi lambung menyehatkan usus ,21.666666666666668,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,1. sebagai sumber energi pada tubuh 2. sebagai penghasil gula darah 3. sebagai sumber tenaga 4. sebagai pemenuh kebutuhan tubuh ,27.666666666666668,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,"Untuk sumber energi, Untuk pembentuk sel, Sebagai sumber tenaga, Sebagai pembentuk daging ",19.333333333333332,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,1) Kegunaannya untuk memberikan tenaga bagi tubuh kita 2) memberikan energi 3) memberikan lemak 4) memberikan efek kenyang bagi tubuh kita ,52.0,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,kesehetan pertumbuhan ,3.3333333333333335,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,"menjaga metabolisme tubuh, menjaga, menjaga stamina tetap stabil, membuat seseorang bergairah, dan menjaga keseimbangan tubuh terutama keasaman tubuh ",13.333333333333334,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,1.Tenaga 2.Energi 3.Makanan 4.Nasi ,13.333333333333334,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,ntuk menambah energ ,11.666666666666666,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,"membuat tubuh tahan banting, agar membuat tubuh terlihat bugar, agar badan tidak lemas, agar tetap sehat ",6.666666666666667,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,Sumber tenaga. Sumber kalori. Membentuk massa otot. Memperkuat tulang ,15.0,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,"tenaga, kesehatan, tulang, dan tubuh ",8.333333333333334,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,nutrisi untuk tubuh menambah kekuatan mochi macho ,5.0,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,"sebagai tenaga, untuk mengganjel perut, untuk kesehatan, agar tidak kelaparan ",28.333333333333332,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,1. menambah tenaga ,13.333333333333334,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,mendapat tenaga ,13.333333333333334,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,1. Sumber Energi Tubuh 2. Mengendalikan Berat Badan 3. Karbohidrat untuk Mencegah Penyakit 4. Memelihara Kesehatan Jantung 5. Mendukung Fungsi Pencernaan 6. Meningkatkan Penyerapan Nutrisi 7. Mencegah Kerusakan Jaringan Otot 8. Mengatur Kenaikan Kadar Gula dalam Darah 9. Mencukupi Kebutuhan Fitonutrien 10. Mendukung Fungsi Otak 11. Mengatasi Kecemasan ,56.666666666666664,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,Karbohidrat merupakan salah satu komponen sebagai sumber tenaga dalam tubuh kita ,20.666666666666668,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,Kegunaan karbohidrat: -sumber energi -pengendalian berat badan -pencegahan penyakit ,18.333333333333332,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,"Karbohidrat digunakan untuk nutrisi tubuh, sumber energi, sebagai glukosa, dan memberikan tenaga cadangan. ",23.333333333333332,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,karbohidrat sebagai sumber energi bagi tubuh manusia ,19.333333333333332,train
Jelaskan kegunaan karbohidrat untuk tubuh kita.,karbohidrat berfungsi sebagai energi bagi tubuh dengan membakar karbohidrat menjadi kalori. ,25.0,train
