Siswa,Jawaban,Manual 1,Manual 2,Manual 3,Rata Manual
siswa_1 ,"Volatile memory adalah memory yang datanya dapat ditulis dan dihapus ,tetapi hilang saat kehilangan power (kondisi off) dan membutuhkan catu daya dalam mempertahankan memory. ",80.0,90.0,90.0,86.66666666666667
siswa_2 ,"merupakan memory yang datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory. ",80.0,90.0,90.0,86.66666666666667
siswa_3 ,memori penyimapan ,0.0,5.0,10.0,5.0
siswa_4 ,"Merupakan memory yang datanya dapat ditulis serta dihapus, tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory. ",80.0,90.0,90.0,86.66666666666667
siswa_6 ,memori jangka pendek ,0.0,10.0,10.0,6.666666666666667
siswa_7 ,"Merupakan memory yang datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power kondisi off serta membutuhkan satu daya dalam mempertahankan memory. ",80.0,90.0,90.0,86.66666666666667
siswa_8 ,volatile memory adalah memory yang berisi data dan dapat ditulis maupun dihapus kembali ,75.0,60.0,75.0,70.0
siswa_9 ,"Volatile memory adalah memory yang datanya dapat ditulis dan dihapus ,tetapi hilang saat kehilangan power (kondisi off) dan membutuhkan catu daya dalam mempertahankan memory. ",80.0,90.0,90.0,86.66666666666667
siswa_10 ,"Volatile, bertentangan dengan memori non-volatile , adalah memori komputer yang membutuhkan kekuatan untuk mempertahankan informasi yang tersimpan; mempertahankan isinya sementara bertenaga pada tetapi ketika listrik terganggu data yang disimpan hilang sangat cepat atau segera. Volatile memiliki beberapa kegunaan, misalnya sebagai memori utama . Selain biasanya menjadi lebih cepat dari bentuk penyimpanan massal seperti hard disk drive yang , volatilitas dapat melindungi informasi sensitif seperti itu menjadi tidak tersedia pada kekuasaan-down. Sebagian besar tujuan umum random-access memory (RAM) adalah stabil. ",40.0,60.0,50.0,50.0
siswa_11 ,"merupakan memory yang datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory. ",80.0,90.0,90.0,86.66666666666667
siswa_12 ,"Volatile memory adalah memory yang datanya dapat ditulis dan dihapus ,tetapi hilang saat kehilangan power (kondisi off) dan membutuhkan catu daya dalam mempertahankan memory. contohnya RAM ",77.0,85.0,90.0,84.0
siswa_16 ,memory yang datanya dapat ditulis dan dihapus ,40.0,45.0,50.0,45.0
siswa_17 ,"Memori yang datanya sudah diisi oleh pembuat chip memori, artinya user meminta kepada pabrik pembuat memori agar diisi sesuai dengan keinginannya. ",15.0,25.0,25.0,21.666666666666668
siswa_18 ,"Volatile memory merupakan memory yang datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory. ",80.0,90.0,90.0,86.66666666666667
siswa_19 ,"memory yang datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power dalam kondisi off, serta membutuhkan satu daya dalam mempertahankan memory ",80.0,90.0,90.0,86.66666666666667
siswa_20 ,"merupakan memory yang datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory ",80.0,90.0,90.0,86.66666666666667
siswa_22 ,"Volatile merupakan memory yang datanya dapat ditulis serta dihapus, tetapi akan hilang jika tidak ada aliran listrik (kondisi mati/off) dan membutuhkan daya untuk mempertahankan memory. ",88.0,100.0,90.0,92.66666666666667
siswa_24 ,"merupakan memory yang datanya dapat ditulis dan dihapus, tetapi dapat hilang saat kondisi power off ",70.0,75.0,75.0,73.33333333333333
siswa_25 ,"Volatile memory merupakan memory yang datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory. ",80.0,90.0,90.0,86.66666666666667
siswa_26 ,memory jangka pendek ,8.0,15.0,10.0,11.0
siswa_27 ,Pengertian topologi jaringan komputer adalah suatu cara atau konsep untuk menghubungkan beberapa atau banyak komputer sekaligus menjadi suatu jaringan yang saling terkoneksi. ,0.0,0.0,0.0,1.0
siswa_33 ,Merupakan memori yang akan hilang datanya keika arus listrik dipadamkan ,30.0,35.0,25.0,30.0
siswa_34 ,"adalah data yang datanya dapat ditulis dan dihapus, tetapi akan hilang saat kehilangan power dan membutuhkan catu daya ",77.0,85.0,90.0,84.0
siswa_35 ,"volatile memory adalah penyimpanan memory sementara, yang mudah hilang ",50.0,60.0,50.0,53.333333333333336
siswa_36 ,memory yang datanya bisa di tulis dan di hapus ,40.0,35.0,50.0,41.666666666666664
siswa_37 ,volatile memory adalah memory yang datanya tidak dapat dihapus / ditulis kembali sehingga hanya bisa dibaca saja. ,45.0,55.0,50.0,50.0
siswa_38 ,Memory yang dapat dihapus. ,25.0,30.0,25.0,26.666666666666668
siswa_39 ,volatile ialah memori sementara yang hilang apabila listrik mati atau komputer dimatikan. contohnya RAM ,40.0,45.0,50.0,45.0
siswa_40 ,memory datanya yang dapat dihapus dan ditulis ,40.0,45.0,50.0,45.0
siswa_41 ,"memory yang datanya dapat ditulis dan dihapus ,tetapi hilang saat kehilangan power (kondisi off) dan membutuhkan catu daya dalam mempertahankan memory. ",80.0,90.0,90.0,86.66666666666667
siswa_42 ,- ,0.0,0.0,0.0,1.0
siswa_43 ,memory yang dapat bertambah ketika di butuhkan ,10.0,5.0,10.0,8.333333333333334
siswa_44 ,"Memory volatile adalah memori yang datanya dapat ditulis atau dihapus, dan data akan hilang ketika tidak mendapat power / daya. Memory jenis ini hanya untuk penyimpanan data sementara saja, bukan untuk jangka waktu yang lama. Contoh dari memory volatile adalah RAM (Random Access Memory) digunakan sebagai memori utama untuk menyimpan program-program atau data-data yang sedang digunakan atau diperlukan oleh CPU saat dibutuhkan saja (sementara). ",65.0,80.0,75.0,73.33333333333333
siswa_45 ,"Volatile memory merupakan memory yang datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory. Contohnya adalah RAM ",77.0,88.0,90.0,85.0
siswa_46 ,Volatile = sementara Memory = Ingatan jadi Ingatan Sementara ,20.0,30.0,25.0,25.0
siswa_47 ,"Volatile memory merupakan memory yang datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory. ",88.0,95.0,90.0,91.0
siswa_49 ,"merupakan memory yang datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory. ",80.0,90.0,90.0,86.66666666666667
siswa_50 ,"Volatile memory adalah memory yang datanya dapat ditulis dan dihapus ,tetapi hilang saat kehilangan power (kondisi off) dan membutuhkan catu daya dalam mempertahankan memory. ",88.0,86.0,90.0,88.0
siswa_51 ,"volatile memory merupakan memory yang datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory. ",80.0,90.0,90.0,86.66666666666667
siswa_52 ,memory tambahan ,5.0,5.0,10.0,6.666666666666667
siswa_53 ,valatile memory tempat penyimpana data volatile ,30.0,30.0,25.0,28.333333333333332
siswa_54 ,Volatile memory adalah tempat penyimpanan data volatile. ,27.0,30.0,25.0,27.333333333333332
siswa_55 ,tempat untuk menyimpan data volatile ,25.0,30.0,25.0,26.666666666666668
siswa_56 ,"Volatile memory, contrary to non-volatile memory, is computer memory that requires power to maintain the stored information ",10.0,10.0,10.0,10.0
siswa_57 ,merupakan memory yang datanya dapat ditulis serta dihapus tetapi akan hilang ,40.0,50.0,50.0,46.666666666666664
siswa_58 ,"Volatile memory adalah memory yang datanya dapat ditulis dan dihapus ,tetapi hilang saat kehilangan power (kondisi off) dan membutuhkan catu daya dalam mempertahankan memory ",80.0,90.0,90.0,86.66666666666667
siswa_59 ,memory yang digunakan untuk penyimpanan sementara ,25.0,35.0,25.0,28.333333333333332
siswa_60 ,"-Volatile memory adalah memory yang datanya dapat ditulis dan dihapus ,tetapi hilang saat kehilangan power (kondisi off) dan membutuhkan catu daya Dalam mempertahankan memory.",88.0,86.0,90.0,88.0
siswa_61 ,"merupakan memory yang datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory. ",80.0,90.0,90.0,86.66666666666667
siswa_62 ,"merupakan memory yang datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory. ",80.0,90.0,90.0,86.66666666666667
siswa_63 ,memory yang digunakan untuk menyimpan data ,25.0,20.0,25.0,23.333333333333332
siswa_64 ,volatile memory adalah memory sementara untuk menjalankan komputer. hal ini untuk menyeimbangkan antara RAM dan processor ,45.0,40.0,50.0,45.0
siswa_65,"Volatile memory ialah memory nan datanya dapat ditulis dan dihapus ,tetapi hilang saat kehilangan power (kondisi off) dan membutuhkan catu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_66,"Volatile memory ialah memory yang datanya dapat ditulis dan dihapus ,tetapi hilang saat kehilangan power (kondisi off) dan membutuhkan catu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_67,"Volatile memory adalah memory nan datanya dapat ditulis dan dihapus ,tetapi hilang saat kehilangan power (kondisi off) dan membutuhkan catu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_68,"membentuk memory nan datanya angsal ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_69,"membentuk memory nan datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_70,"membentuk memory yang datanya angsal ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_71,"membentuk memory yang datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_72,"merupakan memory nan datanya angsal ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_73,"merupakan memory nan datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_74,"merupakan memory yang datanya angsal ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_75,album penyimapan,0.0,5.0,10.0,5.0
siswa_76,"Merupakan memory nan datanya angsal ditulis serta dihapus, tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_77,"Merupakan memory nan datanya dapat ditulis serta dihapus, tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_78,"Merupakan memory yang datanya angsal ditulis serta dihapus, tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_79,album paser cepak,0.0,10.0,10.0,6.666666666666667
siswa_80,album paser pendek,0.0,10.0,10.0,6.666666666666667
siswa_81,album jangka cepak,0.0,10.0,10.0,6.666666666666667
siswa_82,album jangka pendek,0.0,10.0,10.0,6.666666666666667
siswa_83,memori paser cepak,0.0,10.0,10.0,6.666666666666667
siswa_84,memori paser pendek,0.0,10.0,10.0,6.666666666666667
siswa_85,memori jangka cepak,0.0,10.0,10.0,6.666666666666667
siswa_86,"Merupakan memory nan datanya angsal ditulis serta dihapus,tetapi akan hilang saat kehilangan power kondisi off serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_87,"Merupakan memory nan datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power kondisi off serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_88,"Merupakan memory yang datanya angsal ditulis serta dihapus,tetapi akan hilang saat kehilangan power kondisi off serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_89,volatile memory ialah memory nan berisi data dan dapat ditulis maupun dihapus kembali,75.0,60.0,75.0,70.0
siswa_90,volatile memory ialah memory yang berisi data dan dapat ditulis maupun dihapus kembali,75.0,60.0,75.0,70.0
siswa_91,volatile memory adalah memory nan berisi data dan dapat ditulis maupun dihapus kembali,75.0,60.0,75.0,70.0
siswa_92,"Volatile memory ialah memory nan datanya dapat ditulis dan dihapus ,tetapi hilang saat kehilangan power (kondisi off) dan membutuhkan catu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_93,"Volatile memory ialah memory yang datanya dapat ditulis dan dihapus ,tetapi hilang saat kehilangan power (kondisi off) dan membutuhkan catu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_94,"Volatile memory adalah memory nan datanya dapat ditulis dan dihapus ,tetapi hilang saat kehilangan power (kondisi off) dan membutuhkan catu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_95,"Volatile, beradu kening cak atas album non-volatile , adalah memori komputer yang membutuhkan kekuatan untuk mempertahankan informasi yang tersimpan; mempertahankan isinya sementara bertenaga pada tetapi ketika listrik terganggu data yang disimpan hilang sangat cepat atau segera. Volatile memiliki beberapa kegunaan, misalnya sebagai memori utama . Selain biasanya menjadi lebih cepat dari bentuk penyimpanan massal seperti hard disk drive yang , volatilitas dapat melindungi informasi sensitif seperti itu menjadi tidak tersedia pada kekuasaan-down. Sebagian besar tujuan umum random-access memory (RAM) adalah stabil.",40.0,60.0,50.0,50.0
siswa_96,"Volatile, beradu kening cak atas memori non-volatile , adalah memori komputer yang membutuhkan kekuatan untuk mempertahankan informasi yang tersimpan; mempertahankan isinya sementara bertenaga pada tetapi ketika listrik terganggu data yang disimpan hilang sangat cepat atau segera. Volatile memiliki beberapa kegunaan, misalnya sebagai memori utama . Selain biasanya menjadi lebih cepat dari bentuk penyimpanan massal seperti hard disk drive yang , volatilitas dapat melindungi informasi sensitif seperti itu menjadi tidak tersedia pada kekuasaan-down. Sebagian besar tujuan umum random-access memory (RAM) adalah stabil.",40.0,60.0,50.0,50.0
siswa_97,"Volatile, beradu kening dengan album non-volatile , adalah memori komputer yang membutuhkan kekuatan untuk mempertahankan informasi yang tersimpan; mempertahankan isinya sementara bertenaga pada tetapi ketika listrik terganggu data yang disimpan hilang sangat cepat atau segera. Volatile memiliki beberapa kegunaan, misalnya sebagai memori utama . Selain biasanya menjadi lebih cepat dari bentuk penyimpanan massal seperti hard disk drive yang , volatilitas dapat melindungi informasi sensitif seperti itu menjadi tidak tersedia pada kekuasaan-down. Sebagian besar tujuan umum random-access memory (RAM) adalah stabil.",40.0,60.0,50.0,50.0
siswa_98,"Volatile, beradu kening dengan memori non-volatile , adalah memori komputer yang membutuhkan kekuatan untuk mempertahankan informasi yang tersimpan; mempertahankan isinya sementara bertenaga pada tetapi ketika listrik terganggu data yang disimpan hilang sangat cepat atau segera. Volatile memiliki beberapa kegunaan, misalnya sebagai memori utama . Selain biasanya menjadi lebih cepat dari bentuk penyimpanan massal seperti hard disk drive yang , volatilitas dapat melindungi informasi sensitif seperti itu menjadi tidak tersedia pada kekuasaan-down. Sebagian besar tujuan umum random-access memory (RAM) adalah stabil.",40.0,60.0,50.0,50.0
siswa_99,"Volatile, bertentangan cak atas album non-volatile , adalah memori komputer yang membutuhkan kekuatan untuk mempertahankan informasi yang tersimpan; mempertahankan isinya sementara bertenaga pada tetapi ketika listrik terganggu data yang disimpan hilang sangat cepat atau segera. Volatile memiliki beberapa kegunaan, misalnya sebagai memori utama . Selain biasanya menjadi lebih cepat dari bentuk penyimpanan massal seperti hard disk drive yang , volatilitas dapat melindungi informasi sensitif seperti itu menjadi tidak tersedia pada kekuasaan-down. Sebagian besar tujuan umum random-access memory (RAM) adalah stabil.",40.0,60.0,50.0,50.0
siswa_100,"Volatile, bertentangan cak atas memori non-volatile , adalah memori komputer yang membutuhkan kekuatan untuk mempertahankan informasi yang tersimpan; mempertahankan isinya sementara bertenaga pada tetapi ketika listrik terganggu data yang disimpan hilang sangat cepat atau segera. Volatile memiliki beberapa kegunaan, misalnya sebagai memori utama . Selain biasanya menjadi lebih cepat dari bentuk penyimpanan massal seperti hard disk drive yang , volatilitas dapat melindungi informasi sensitif seperti itu menjadi tidak tersedia pada kekuasaan-down. Sebagian besar tujuan umum random-access memory (RAM) adalah stabil.",40.0,60.0,50.0,50.0
siswa_101,"Volatile, bertentangan dengan album non-volatile , adalah memori komputer yang membutuhkan kekuatan untuk mempertahankan informasi yang tersimpan; mempertahankan isinya sementara bertenaga pada tetapi ketika listrik terganggu data yang disimpan hilang sangat cepat atau segera. Volatile memiliki beberapa kegunaan, misalnya sebagai memori utama . Selain biasanya menjadi lebih cepat dari bentuk penyimpanan massal seperti hard disk drive yang , volatilitas dapat melindungi informasi sensitif seperti itu menjadi tidak tersedia pada kekuasaan-down. Sebagian besar tujuan umum random-access memory (RAM) adalah stabil.",40.0,60.0,50.0,50.0
siswa_102,"membentuk memory nan datanya angsal ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_103,"membentuk memory nan datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_104,"membentuk memory yang datanya angsal ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_105,"membentuk memory yang datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_106,"merupakan memory nan datanya angsal ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_107,"merupakan memory nan datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_108,"merupakan memory yang datanya angsal ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_109,"Volatile memory ialah memory nan datanya dapat ditulis dan dihapus ,tetapi hilang saat kehilangan power (kondisi off) dan membutuhkan catu daya dalam mempertahankan memory. contohnya RAM",77.0,85.0,90.0,84.0
siswa_110,"Volatile memory ialah memory yang datanya dapat ditulis dan dihapus ,tetapi hilang saat kehilangan power (kondisi off) dan membutuhkan catu daya dalam mempertahankan memory. contohnya RAM",77.0,85.0,90.0,84.0
siswa_111,"Volatile memory adalah memory nan datanya dapat ditulis dan dihapus ,tetapi hilang saat kehilangan power (kondisi off) dan membutuhkan catu daya dalam mempertahankan memory. contohnya RAM",77.0,85.0,90.0,84.0
siswa_112,memory nan datanya angsal ditulis dan dihapus,40.0,45.0,50.0,45.0
siswa_113,memory nan datanya dapat ditulis dan dihapus,40.0,45.0,50.0,45.0
siswa_114,memory yang datanya angsal ditulis dan dihapus,40.0,45.0,50.0,45.0
siswa_115,"Memori nan datanya telah diisi oleh pembuat chip memori, artinya user meminta kepada pabrik pembuat memori agar diisi sesuai dengan keinginannya.",15.0,25.0,25.0,21.666666666666668
siswa_116,"Memori nan datanya sudah diisi oleh pembuat chip memori, artinya user meminta kepada pabrik pembuat memori agar diisi sesuai dengan keinginannya.",15.0,25.0,25.0,21.666666666666668
siswa_117,"Memori yang datanya telah diisi oleh pembuat chip memori, artinya user meminta kepada pabrik pembuat memori agar diisi sesuai dengan keinginannya.",15.0,25.0,25.0,21.666666666666668
siswa_118,"Volatile memory membentuk memory nan datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_119,"Volatile memory membentuk memory yang datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_120,"Volatile memory merupakan memory nan datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_121,"memory nan datanya angsal ditulis serta dihapus,tetapi akan hilang saat kehilangan power dalam kondisi off, serta membutuhkan satu daya dalam mempertahankan memory",80.0,90.0,90.0,86.66666666666667
siswa_122,"memory nan datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power dalam kondisi off, serta membutuhkan satu daya dalam mempertahankan memory",80.0,90.0,90.0,86.66666666666667
siswa_123,"memory yang datanya angsal ditulis serta dihapus,tetapi akan hilang saat kehilangan power dalam kondisi off, serta membutuhkan satu daya dalam mempertahankan memory",80.0,90.0,90.0,86.66666666666667
siswa_124,"membentuk memory nan datanya angsal ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory",80.0,90.0,90.0,86.66666666666667
