Jawaban tanpa Punctuation,Manual 1,Manual 2,Manual 3,Rata Manual
keper adalah penjaga gawang defender adalah pemain bertahan center back adalah dua pemaian back yang berda di tengah fullback adalah mencegah lawan menyerang di sisi pertahanan dari arah kiri dan kanan ,40.0,50.0,50.0,46.666666666666664
1 penjaga gawang 2 bek 3 gelandang 4 penyerang ,27.0,40.0,50.0,39.0
kiper menjaga gawang beckmenjaga kedalaman dareah pertahanan gelandang membagi bola penyerang bagian menyerrang dan memasuki daerah pertahanan lawan ,42.0,80.0,75.0,65.66666666666667
1 goal keeper 2 deffense 3 center 4 striker ,30.0,40.0,50.0,40.0
hebak umak ,0.0,0.0,0.0,1.0
gelandang bertahan atau disebut juga tukang angkut air memiliki fungsi menjadi pembangun serangan pertama perusak permainan lawan dan pemain pertama yang menghadang serangan balik gelendang tengah atau disebut pemain tengahgelandang bertugas menjaga sektor tengah permainan mengatur ritme permainan dan kadangkadang membantu juga pertahanan baik di tengah maupun sayap gelandang sayap atau yang disebut pemain sayap bertugas untuk memberikan dukungan serangan dari sektor sayap dan bertahan sewaktuwaktu apabila timnya diserang oleh lawan ,28.0,60.0,50.0,46.0
penjaga gawang bertugas menghalau bola untuk masuk ke gawang bek bertugas membantu penjaga gawang gelandang posisinya berada diantara bek dan penyerang penyerang bertugas mencetak gol di gawang lawan ,55.0,80.0,75.0,70.0
penjaga gawang posisi penjaga gawang adalah posisi dengan kemampuan khusus  tugas seorang penjaga gawang adalah mencegah bola masuk ke gawang penjaga gawang seringkali menjadi palang pintu terakhir bagi lawan sebelum memasukkan bola ke gawang penjaga gawang umumnya memiliki kemampuan yang mutlak dibutuhkan seperti refleks yang baikkecepatanpostur idealdan lain sebagainya untuk mencegah terjadinya gol bek bek tengah berfungsi menjaga sektor tengah pertahanandalam beberapa kasusseperti counter attack disaat bek sayap terlambat kembalibek tengah bisa menjaga sektor sayap mereka hampir setiap waktu berada di bagian belakang permainan bersama dengan penjaga gawang untuk menghindari terjadinya gol bek tengah yang memiliki sundulan bagus kadangkadang maju membantu serangan saat terjadi tendangan bebas dan hampir selalu maju tendangan sudutbek dengan sundulan bagus tidak harus berpostur tinggicontohnya carles puyolspanyol yang tingginya tidak sampai 180 cmtinggi rata rata pemain eropa bek sayap bek sayap berfungsi untuk menjaga sektor pertahanan sayap dan juga bertugas maju membantu serangan tim dari sektor sayap dengan memberikan dukungan serangan maupun melalui umpan kepada penyerangserta berperan aktif dalam setiap pertandingan gelandang pemain tengah atau gelandang adalah seorang pemain yang posisinya berada di antara para penyerang dan para bek fungsi utama mereka adalah mendapatkan dan menjaga penguasaan bola serta memberikan bola kepada para penyerang namun ada juga gelandang yang tugasnya lebih bertahan dan ada pula yang posisinya hampir seperti seorang penyerang penyerang penyerang merupakan posisi yang paling dekat dengan gawang lawan tugas utama seorang penyerang adalah mencetak gol posisi penyerang adalah posisi yang membutuhkan tiga hal utama kecepatan teknik dan bakat bila salah satu syarat di atas tidak terwujud sulit menjadi penyerang yang andal penyerang juga membutuhkan naluri dan konsentrasi yang tajam ,60.0,80.0,75.0,71.66666666666667
penjaga gawang adalah posisi dengan kemampuan khusus  tugas seorang penjaga gawang adalah mencegah bola masuk ke gawang penjaga gawang seringkali menjadi palang pintu terakhir bagi lawan sebelum memasukkan bola ke gawang bek posisi pemain belakang atau bek adalah pemain yang posisinya berada di belakang dan bertugas membantu penjaga gawang agar tidak terjadi gol gelandang pemain tengah atau gelandang adalah seorang pemain yang posisinya berada di antara para penyerang dan para bek fungsi utama mereka adalah mendapatkan dan menjaga penguasaan bola serta memberikan bola kepada para penyerang namun ada juga gelandang yang tugasnya lebih bertahan dan ada pula yang posisinya hampir seperti seorang penyerang penyerang merupakan posisi yang paling dekat dengan gawang lawan tugas utama seorang penyerang adalah mencetak gol posisi penyerang adalah posisi yang membutuhkan tiga hal utama kecepatan teknik dan bakat bila salah satu syarat di atas tidak terwujud sulit menjadi penyerang yang andal penyerang juga membutuhkan naluri dan konsentrasi yang tajam ,65.0,80.0,75.0,73.33333333333333
1 kiper  penjega gawang gk 2 pemain bertahan defenders 3 bek tengahcenterback cb 4 fullback lb rb ,30.0,40.0,50.0,40.0
