Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
1 makan permen 2 makan coklat 3 mendengarkan mp3 4 menggambar 5 main game 6 memikirkan indah 7 bercanda teman 8 tidur,12.0,25.0,25.0,20.666666666666668
1 cuci muka 2 bermain social media 3 mendengarkan musik 4 bermain game 5 makan 6 minum 7 strecthing ringan 8 menghirup udara segar,28.0,30.0,25.0,27.666666666666668
1 stretching 1 jam 2 arahkan pandangan tujuan 3 bermain game 4 jalanjalan lokasi 5 istirahat 6 mendengarkan musik 7 menonton film 8 pergi taman,22.0,25.0,25.0,24.0
1 memikirkan pelajaran bijaksana 2 olahraga jalanjalan 3 membawa obat stress 4 mengajak bicara teman 5 bercanda 6 ngemil 7 kamar mandi cuci muka 8 memejamkan mata,18.0,25.0,25.0,22.666666666666668
makan makanan bergizi meminum air putih istirahat senggang bermain game online bermain gadget aktif sosial media gedung menyegarkan otak menonton televisi,20.0,30.0,25.0,25.0
refreshing sejenakminum air putih segarlakukan olahraga kecilkecilan badan cepat lelahisi nutrisi makan ringanminum kopisholat pencerahanlakukan strechcing dikelasmain game,16.0,26.0,25.0,22.333333333333332
refreshing sejenakminum air putih segarlakukan olahraga kecilkecilan badan cepat lelahisi nutrisi makan ringanminum kopisholat pencerahanlakukan strechcing dikelasmain game,16.0,26.0,25.0,22.333333333333332
mengambil jeda istirahat memaksakan tenaga pikiran berfikir positif mengeluh olah raga ringan kerja nyaman berantakan aliran udara lingkungan kerja tanaman meja kerja,19.0,35.0,25.0,26.333333333333332
makan tidur main game minum hot chocolate berjalan keliling kampus cowok ganteng nonton film instagram,12.0,15.0,10.0,12.333333333333334
nonton main hp cerita teman,5.0,5.0,10.0,6.666666666666667
tidur mall makan nonton film mendengarkan musik jalan jalan,18.0,20.0,25.0,21.0
tidur makan makan minum istirahat shalat cuci muka bermain game,15.0,15.0,10.0,13.333333333333334
1 bermain game 2 liburan pantai 3 pergi mall 4 menonton film bioskop rumah 5 liburan daerah 6 liburan edukatif 7 olah raga renang 8 tidur,20.0,25.0,25.0,23.333333333333332
novie,5.0,5.0,10.0,6.666666666666667
main game makan kue cikiciki bersandiwara barmain adik menelepon dicintai dibawah sholat berdzikir mendekatkan allahswt menggagu teman usil dibawa berwudhu cuci muka,22.0,40.0,50.0,37.333333333333336
film hiburan refreshing main game,9.0,10.0,10.0,9.666666666666666
mendengarkan musik jalan jalan main game nonton film makan minum toilet tidur,28.0,33.0,25.0,28.666666666666668
bermain game menonton film makan makanan ringan tidur minum kopi lihat tv mendengarkan musik membuka internet,17.0,18.0,25.0,20.0
membaca bukuolahragamenonton animemakanjalanjalanbersepedatidurbermain game,12.0,24.0,25.0,20.333333333333332
liat film,5.0,5.0,10.0,6.666666666666667
pergi kantin tidur mendengarkan musik ngerokok pergi ruangan ber ac,8.0,10.0,10.0,9.333333333333334
refreshing makan minum istirahat play game playing game main game bermain game,11.0,10.0,10.0,10.333333333333334
1 jajan dikantin 2 istirahat,8.0,5.0,10.0,7.666666666666667
pergi kantin tidur ac,6.0,5.0,10.0,7.0
berolahraga kuliner curhat bermanfaat manjakan deadline ubah lingkungan istirahat jenuh gabungkan tugas sukai,12.0,15.0,10.0,12.333333333333334
mandi brangkat kuliah kekantor berinteraksi komputer menerus regangkan otototot lelah minum air putih,19.0,25.0,25.0,23.0
makan permen minum minuman segar memijat kepala olah raga ringan tidur sebentar memejamkan mata mendengarkan musik kesukaan ruangan menghirup udara segar,35.0,45.0,50.0,43.333333333333336
istirahat merilekskan badan mendengarkan musik disuka disuka minum air putih fokus lupa berdoa senyum semangat,20.0,35.0,25.0,26.666666666666668
bermain game selasela tidur makan minum olahraga membaca komik,25.0,25.0,25.0,25.0
tidur bermain game berwudhu sholat stretching olahraga ringan minum segelas aqua makan makanan ringan membaca alquran melamun,40.0,34.0,50.0,41.333333333333336
tidur makan main game ruangan jalan jalan izin kamar mandi cewek cantik memandangi kekasih,25.0,15.0,25.0,21.666666666666668
istirahat tidur makan makanan bergizi mendengarkan musik berkumpul keluarga teman menonton slank pisss mandi tepi lautan gunung,15.0,10.0,10.0,11.666666666666666
mendengarkan musik internet membaca buku,9.0,15.0,10.0,11.333333333333334
mendengarkan musik disukai bermain game jalan jalan disekitar tampat kerja makan dikantin mengopi tidur sebentar browsing chatting,12.0,15.0,10.0,12.333333333333334
tarik nafas dalamdalam tenang fokus konsentrasi minum air putih membaca shalawat hati santai,8.0,10.0,10.0,9.333333333333334
bercanda menonton film,3.0,5.0,10.0,6.0
nyalakan lilin duduk alam terbuka mendengarkan menginspirasi membaca menulis 15 menit menatap mendrngarkan lagu mengobrol teman,16.0,10.0,10.0,12.0
