Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
menyehatkan tubuh memperkuat otototot menjernihkan pikiran terhindar penyakit membentuk metabolisme tubuh,40.0,50.0,50.0,46.666666666666664
1 meringankan kerja jantung 2 melancarkan aliran darah 3 mencegah obesitas 4 meningkatkan pertumbuhan tulang gigi 5 meningkatkan sistem imun,15.0,20.0,25.0,20.0
refresing kesehatan otot syarafsyaraf mejadi semakit rilexspembentukan fisikkelincahan bergerak,28.0,15.0,25.0,22.666666666666668
1 menjaga kondisi fisik prima 2 menghilangkan stress 3 mengurangi lemak 4 melancarkan sistem pencernaan 5 membentuk tubuh ideal,35.0,25.0,25.0,28.333333333333332
sehat,9.0,0.0,10.0,6.333333333333333
membantu mengontrol berat badan meningkatkan energi manfaat olahraga mencegah penyakit memelihara kekebalan tubuh membantu meningkatkan kecerdasan otak,38.0,32.0,25.0,31.666666666666668
memperlancar sistem peredaran darah energi tubuh menghilangkan racun tubuh melatih otot tubuh kuat menghilangkan stress,48.0,35.0,50.0,44.333333333333336
manfaat olahraga kesehatan tubuh terbukti latihan olahraga memelihara kebugaran fisik kesehatan mental daftar efek positif olahraga bertambah temuan bukti daniel m landers profesor ilmu kesehatan fisik olahraga univeritas arizona menggerakkan tubuh 10 menit kesehatan mental meningkat cepat daya pikir bertambah jernih menggembirakan mengurangi ketegangan alias stress perasaan riang landers manfaat olahraga menyehatkan mental mari simak,28.0,15.0,25.0,22.666666666666668
melancarkan aliran darah meningkatkan pertumbuhan tulang gigi mencegah obesitas menjaga keseimbangan tubuh menjaga fleksibilitas otot,25.0,15.0,25.0,21.666666666666668
1 berolahraga meningkatkan kapasitas otak 2 menggerakkan tubuh membantu mencairkan stres 3 berolahraga energi 4 sulit mencari berolahraga 5 berolahraga membina hubungan,33.0,20.0,25.0,26.0
menjaga kesehatan tulang menurunkan berat badan menyahatkan otot melatih ketahanan tubuh menjaga kesehatan tulang,38.0,23.0,25.0,28.666666666666668
menjaga metabolisme tubuhmenambah daya otakmelatih tubuh gerak,22.0,10.0,25.0,19.0
menyehatkan jantungmerampingkan tubuhmambakar lemakmembuat panjangf umur,27.0,15.0,25.0,22.333333333333332
otot tubuh rilex tubuh sehat otak bersinergi memperkuat kekebalan tubuh fisik sesuai idaman,38.0,25.0,25.0,29.333333333333332
1 menyehatkan badan 2 terhindar penyakit 3 badan bugar 4 otot kuat,47.0,55.0,50.0,50.666666666666664
menyegarkan pikiran organ tubuh sehat otot kuat menyehatkan tubuh,45.0,45.0,50.0,46.666666666666664
menjaga kesehatan menambah daya tahan tubuh memperbaiki otot bermasalah memperlancar peredaran darah refresh otak,58.0,65.0,75.0,66.0
suasana hati senang membakar kalori menyehatkan jantung metabolisme tubuh meningkat merampingkan tubuh,43.0,50.0,50.0,47.666666666666664
meringankan kerja jantung melancarkan aliran darah meningkatkan pertumbuhan tulang gigi menjaga kepadatan tulang mencegah obesitas,15.0,10.0,10.0,11.666666666666666
membantu meningkatkat kecerdasan otak membantu memelihara kekebalan tubuh membantu menambah energy tubuh membantu mencairkan stress membantu program diet,38.0,22.0,25.0,28.333333333333332
1 menjadikan badan bugar 2 pikiran fresh 3 otot tubuh kencang olahraga 4 badan sehat 5 stress,40.0,40.0,50.0,43.333333333333336
1 menyegargan badan pikiran 2 menyehatkan tubuh 3 mengurangi lemak tubuh 4 mengeluarkan racun tubuh 5 mengencangkan otot,55.0,48.0,50.0,51.0
membantu mengontrol berat badan membantu meningkatkan mood mencegah penyakit meningkatkan enargi meningkatkan memori,38.0,46.0,50.0,44.666666666666664
berolahraga meningkatkan kapasitas otak menggerakkan tubuh membantu mencairkan stres berolahraga energi sulit mencari berolahraga berolahraga membina hubungan berolahraga melawan penyakit berolahraga memompa jantung berolahraga memperbaiki diet berolahraga meningkatkan stamina penurunan berat badan tujuan utama,60.0,65.0,75.0,66.66666666666667
membantu mengontrol berat badan mencegah penyakit membakar kalori tubuh meningkatkan kinerja otot meningkatkan sistem imun,38.0,40.0,50.0,42.666666666666664
menyegarkan pikiran melepas stress lingkungan kerja sekolah kesehatan otot tubuh perkembangan otot tulang memelihara kesehatan organ tubuh menjaga kesehatan jantung,45.0,40.0,50.0,45.0
manfaat olahraga tubuh menjadikan tubuh badan sehat bugar merengangkan merilekskan otot otot tubuh badan kaku menjadikan kinerja organ tubuh lancar peredaran darah menjernihkan pikiran rilex penat perkerjaan menjaga keseimbangan menjaga stamina,30.0,35.0,25.0,30.0
sebutkan 5 manfaat olahraga tubuh pikiran otot organ tubuh,25.0,0.0,0.0,8.333333333333334
pikiran fresh otot terlatih otot kuat badan segar pencernaan terjaga,30.0,15.0,25.0,23.333333333333332
segar sehat bugar bertenaga mudah lemas,20.0,7.0,10.0,12.333333333333334
meningkatkan pembentukan otot tubuh menjadikan kulit sehat cerah meningkatkan daya otak tubuh bugar kuat mental kuat terlatih,38.0,30.0,25.0,31.0
menyehatkan tubuh mengisi luang mebuat pikiran segar fresh melatih otot,35.0,28.0,25.0,29.333333333333332
merefresh pikiran menambah stamina meregangkan otot mudah cidera diet membentuk tubuh sesuai,44.0,30.0,50.0,41.333333333333336
membakar kolesterol menguatkan otot menyegarkan badan menyegarkan pikiran mencegah penyakit,55.0,60.0,50.0,55.0
anti struk tubuh sehat fikiran fresh,19.0,10.0,10.0,13.0
meningkatkan daya tahan tubuh meningkatkan kemampuan otak membakar lemak mengurangi stres mencegah penuaan,70.0,60.0,75.0,68.33333333333333
menggerakkan tubuh membantu mencairkan stres berolahraga meningkatkan kapasitas otak menggerakkan tubuh membantu mencairkan stres berolahraga energi berolahraga memompa jantung,50.0,50.0,50.0,50.0
memfokuskan pikiran membentuk otot kencang organ terlatih sisa sisa pembakaran berguna keluarkan keringat berolahraga sehat,35.0,30.0,25.0,30.0
berolahraga meningkatkan kapasitas otak menggerakkan tubuh membantu mencairkan stres berolahraga energi sulit mencari berolahraga berolahraga membina hubungan,40.0,30.0,50.0,40.0
membantu meningkatan kecerdasaan otakmembantu memelihara kekebalan tubuhmembantu menambah energy didalam tubuhdengan berolahraga membantu mencairkan stressdapat membantu program diet,46.0,42.0,50.0,46.0
tubuh sehat memiliki daya tahan tubuh jantung stabil pikiran rileks otot tubuh lemas kaku,56.0,50.0,50.0,52.0
menyehatkan jantung metabolisme tubuh meningkat menormalkan tekanan darah membakar kalori tubuh menormalkan kadar kolesterol tubuh,38.0,30.0,25.0,31.0
menyehatkan jantung metabolisme tubuh meningkat merampingkan tubuh menormalkan tekanan darah membakar kalori tubuh,30.0,45.0,50.0,41.666666666666664
suasan hati senang menyehatkan jantung menjaga metabolisme tubuh menjaga fleksibilitas otot menyehatkan paruparu,25.0,37.0,25.0,29.0
sehat terhindah penyakit pikiran jernih teman otot terbentuk,30.0,30.0,25.0,28.333333333333332
menyehatkan badan menyegarkan fikiran melenturkan otot menyegarkan organ tubuh melancarkan peredaran darah,38.0,34.0,25.0,32.333333333333336
menyegarkan berfikir menyehatkan badan melatih otot tubuh otot bertambah melatih tubuh mudah lemah lesu,34.0,40.0,25.0,33.0
membantu mengontrol berat badan olahraga membantu meningkatkan mood manfaat olahraga mencegah penyakit meningkatkan energi meningkatkan memori,40.0,45.0,50.0,45.0
tubuh sehat otot tegang saraf otak biar peredaran darah lancar kuat,20.0,18.0,25.0,21.0
menyehatkan tubuh menguatkan otot tubuh menyegarkan pikiran tubuh semangat pola hidup sehat,42.0,30.0,50.0,40.666666666666664
