Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
sumber tenaga pemanis alami menjaga sistem imun keseimbangan tubuh,20.0,35.0,25.0,26.666666666666668
sumber energi pemanis alami menjaga sistem imun tubuh mengoptimalkan kerja protein,18.0,20.0,25.0,21.0
1 energi 2 memperlancaar pencernaan 3 sistem imun 4 cadangan lemak,25.0,50.0,50.0,41.666666666666664
kenyang lapar kuat sehat aktivitas,15.0,15.0,25.0,18.333333333333332
karbohidrat peran proses metabolisme proses berfungsi penyeimbang asam basa tubuh karbohidrat mencegah ketidaksempurnaan proses oksidasi lemak fungsi karbohidrat utama pemasok energi makanan berkarbohidrat serat membantu memperlancar proses pencernaan,70.0,90.0,85.0,81.66666666666667
1 menjaga sistem imun tubuh 2 proses metabolisme penyeimbang asam basa didalam tubuh 3 mencegah ketidaksempurnaan proses oksidasi lemak 4 pemasok energi,40.0,50.0,50.0,46.666666666666664
1 menjaga sistem imun tubuh 2 proses metabolisme penyeimbang asam basa didalam tubuh 3 mencegah ketidaksempurnaan proses oksidasi lemak 4 pemasok energi,40.0,60.0,50.0,50.0
menambah energi tubuh proses metabolisme memperlancar proses pencernaan mengoptimalkan kerja protein,35.0,30.0,40.0,35.0
kegunaan karbohidrat tubuh menambah energi proses metabolisme tubuh memperlancar proses pencernaan berfungsi mengoptimalkan kerja protein tubuh,40.0,65.0,40.0,48.333333333333336
sumber energi tubuh penghasil gula darah penghasil enzim lambung menyehatkan usus,15.0,25.0,25.0,21.666666666666668
1 sumber energi tubuh 2 penghasil gula darah 3 sumber tenaga 4 pemenuh kebutuhan tubuh,18.0,25.0,40.0,27.666666666666668
sumber energi pembentuk sel sumber tenaga pembentuk daging,8.0,25.0,25.0,19.333333333333332
1 kegunaannya tenaga tubuh 2 energi 3 lemak 4 efek kenyang tubuh,56.0,50.0,50.0,52.0
kesehetan pertumbuhan,0.0,0.0,10.0,3.3333333333333335
menjaga metabolisme tubuh menjaga menjaga stamina stabil bergairah menjaga keseimbangan tubuh keasaman tubuh,10.0,20.0,10.0,13.333333333333334
